Chocolate LACTA Bis Leite 126g R$4,15 
Chocolate LACTA ao Leite 90g R$3,89 
Chocolate LACTA Bis Xtra 45g R$2,05 
Chocolate LACTA Shot 90g R$3,89 
Chocolate LACTA Bis Xtra Branco 45g R$2,05 
Chocolate LACTA Bis Laka 126g R$4,15 
Chocolate LACTA Laka Oreo 90g R$3,89 
Chocolate LACTA Bis Oreo 100.8g R$4,15 
Chocolate LACTA Diamante Negro 90g R$3,89 
Café NESCAFÉ Solúvel Origens do Brasil São Sebastião do Paraíso 90g R$15,50 
Café NESCAFÉ Gold 9 Solúvel 100g R$16,50 
Nescafé DOLCE GUSTO Au Lait 160g com 16 Cápsulas R$23,95 
Café NESCAFÉ Solúvel Origens do Brasil Serras do Alto Paranaíba 90g R$15,50 
Café NESCAFÉ Solúvel Origens do Brasil Chapada Diamantina 90g R$15,50 
Café NESCAFÉ Torrado Origens do Brasil Serras do Alto Paranaíba 250g R$15,90 
Café NESCAFÉ Gold 6 Solúvel 100g R$16,50 
Café NESCAFÉ Torrado Moido Gold 6 Suave 250g R$17,99 
Café NESCAFÉ Torrado Moido Gold 8 250 R$17,99 
Nescafé DOLCE GUSTO Latte Macchiato 194g com 16 Cápsulas R$23,95 
Nescafé DOLCE GUSTO Ristretto Ardenza 112g com 16 Cápsulas R$23,95 
Nescafé DOLCE GUSTO Lungo 112g com 16 Cápsulas R$23,95 
Nescafé DOLCE GUSTO Espresso Intenso 128g com 16 Cápsulas R$23,95 
Farinha de Aveia Integral QUAKER Caixa 165g R$2,99 
Aveia em Flocos Regulares QUAKER Caixa 165g R$3,75 
Farelo de Aveia QUAKER Caixa 165g R$5,75 
Aveia Orgânica em Flocos Finos QUAKER Caixa 170g R$7,79 
Farelo de Aveia Orgânico QUAKER Caixa 150g R$7,99 
Aveia Orgânica em Flocos QUAKER Caixa 170g R$8,45 
Achocolatado NESCAU Max Cereal Sem Adição de Açúcares 165g R$11,59 
Achocolatado em Pó NESCAU 2.0 400g R$5,19 
Cereal NESTLÉ Nescau 210g R$9,45 
Achocolatado em Pó NESCAU Actigen-E 2.0 800g R$9,59 
Achocolatado em Pó NESCAU Activ-GO 3.0 760g R$16,50 
Cereal NESTLÉ Nescau Duo 210g R$10,90 
Café STARBUCKS Single Origin Coffee Colombia 10 Cápsulas R$24,50 
Café STARBUCKS House Blend Lungo 10 Cápsulas R$24,50 
Café STARBUCKS Caffé Verona 10 Cápsulas R$24,50 
Café STARBUCKS Espresso Roast 57g com 10 Cápsulas R$24,50 
Café STARBUCKS House Blend Americano 102g com 12 Cápsulas R$24,50 
Café STARBUCKS Caramel Macchiato 6 Cápsulas R$24,50 
Café STARBUCKS Latte Macchiato 12 Cápsulas R$24,50 
Café STARBUCKS Caffé Verona Dark Roast 250g R$24,50 
Batata Lavada Kg R$2,69 
Cebola Comum Kg R$3,49/ KG 
Tomate Longa Vida kg R$5,29/ KG 
Cenoura kg R$3,45 
Mamão Formosa Kg R$3,97/ KG 
Laranja Pera Kg R$3,55/ KG 
Batata Doce kg R$2,45 
Banana Caturra kg R$3,75/ KG 
Limão Tahiti kg R$7,49 
Tomate Italiano Kg R$6,45 
Mamão Papaya kg R$4,29 
Banana Branca Orgânica kg R$4,89 
Abobrinha Caserta kg R$4,55 
Melancia Pedaço kg R$3,03/ KG 
Maçã Fuji kg R$8,49 
Chuchu kg R$2,69 
Maçã Gala kg R$8,65 
Melancia Inteira kg R$2,75/ KG 
Melão Redinha Doce kg R$7,69/ KG 
Manga Palmer kg R$4,90 
Moranga Kabotiá kg R$3,15/ KG 
Manga Tommy kg R$4,49/ KG 
Maracujá Peroba kg R$7,15 
Beterraba kg R$2,95/ KG 
