Absorvente Carefree Tododia Flexi 40un R$11,90un 
Tabua Vidro Mor Temp Cozinha 25x35cm R$26,90un 
Vinho Chileno Apaltagua Gran Verano Rosado Carmenere 750ml R$39,90un 
Vinho Português Anjos De Port Verde Bco 750ml R$42,99un 
Bebida Amêndoas Almond Breeze Orig Zero 1l R$9,99un 
Suco Prats Uva 330ml R$5,89un 
Vinagre Almaromi De Maçã 400ml R$5,99un 
Vinho Argentino California Branco 750ml R$19,99un 
Vinho Argentino Mesidor Malbec 750ml R$35,99un 
Biscoito Galo 112g Show Recheado Brigadeiro R$1,49un 
Gel Dental Tra La La Tutti Frutti 70g R$11,49un 
Alim Monello P/Gato 1kg Filhotes R$24,98un 
Manteiga President C/Sal Tablete 200g R$10,49un 
Batata Panpan Chips Apimentado 110g R$8,98un 
Batata Palha E Chips Extra Fina 100g R$6,29un 
Alho Planalto Triturado 200g Pt R$8,29un 
Acendedor De Carvao Mega 80º 480g R$6,29un 
Amaciante Aquafast Seducao 2l R$6,98un 
Alcool Mega Neutro 46º 500ml R$3,49un 
Corante Mix Liq Laranja 10ml R$3,99un 
Alcool Mega Neutro 46º 1l R$5,99un 
Vinho Aurora Reserva Tannat 750ml R$49,90un 
Wafer Isabela 100g Leite R$1,79un 
Wafer Isabela 100g Choc Suico R$1,79un 
Wafer Isabela 100g Limao R$1,79un 
Wafer Isabela 100g Choc Branco R$1,79un 
Polenta Molino Instantanea S/Gluten 500g R$10,99un 
Polenta Molino Classica S/Gluten 500g R$8,99un 
Polenta Molino Classica Branca S/Gluten 1kg R$19,99un 
Polenta Molino Bramata S/Gluten 1kg R$16,99un 
Absorvente Intimus Gel Not Suave C/Abas 16un R$13,90un 
Composto Lacteo Pó Sol Blendy 400g R$7,99un 
Molho Tomate Mamma Doro Pizza 340g Sc R$2,99un 
Kit Depilatório Depikit Bivolt R$119,99un 
Shampoo De Barba 4por1 200ml Barba De Respeito R$22,99un 
Maçã Granny Smicht Kg R$13,59kg 
Alho Planalto Triturado 1kg R$18,98un 
Biscoito Pit Stop Pão Na Chapa 162g R$3,99un 
Extrato Tomate Elefante 340g Pet R$4,45un 
Musli Naturale Cereais E Frutas 250g R$4,49un 
Caixa Térmica Soprano Laranja 35l R$49,90un 
Vinagre Balsamico Weinmann 250ml R$9,99un 
Manteiga Predileto S/Sal 200g Pt R$5,99un 
Refrigerante Antarctica Guarana 1l C/2 Pet R$4,99un 
File Bacalhau Gd Morhua C/Pele E Espinha R$109,99kg 
Frango Nho Bento Cong Kg R$13,99kg 
Creme De Tratamento Seda Boom Masc Restaura 300g R$18,99un 
Cafe Bicafe Capsula Premium Ristretto N10 60g C/10 Un R$9,99un 
Maionese Fugini Vegana 360g R$3,49un 
Vinho Português Credencial Rose 750ml R$39,90un 
Cerveja Baltika Zero Alcool Nº0 470ml R$7,99un 
Cerveja Baltika Extra Nº9 450ml R$9,98un 
Palmito Palm Real Tolete Krehnke 1800gr R$47,98un 
Pão Da Marcia Integral Com Linhaça 400g R$6,49un 
Pão Da Marcia Caseiro Batata 600g R$6,49un 
Pão Da Marcia Caseiro Milho 600g R$6,49un 
Bife Chorizo Bov Novilho Jovem Kg R$39,90kg 
Pimenta Kitano Do Reino Preta Moida 15g R$3,99un 
Vodka Kalvelage 1l R$69,90un 
Sagu Neve 500g R$5,59un 
Kit Novex Shampoo+Condicionador Oléo De Coco 300ml R$14,98un 
Kit Novex Sh+Cond Argan 300ml R$14,98un 
Kit Novex Sh+Cond Liso De Cinema 300ml R$14,98un 
Hastes Dubebê Flexivel Box 300un R$8,49un 
Shampoo Monange Hidrata Com Poder 325ml R$6,98un 
Condicionador Monange Quimica Sem Drama 325ml R$10,59un 
Condicionador Monange Liso Te Quero 325ml R$10,59un 
Vinho Chileno Loma Negra Cabernet Sauvgnon Reserva 750ml R$51,69un 
Vinho Chileno Loma Negra Pinot Noir Res 750 R$51,69un 
Vinho Chileno Loma Negra Malbec Reserva 750ml R$51,69un 
Vinho Chileno Loma Negra Rose 750ml R$32,90un 
Sagu Amafil 500g R$4,99un 
Cogumelo Aica Premium Fatiados 200g R$23,98un 
Cogumelo Aica Premium Inteiros 200g R$23,98un 
Linguiça Fininha Seara Defumada 215g R$4,99un 
Aceto Balsamico Hemmer Organico 250ml R$36,98un 
Vinho Nacional Rubik Tinto Suave 750ml R$12,98un 
Bebida Splash Uva/Acai 500ml R$2,99un 
Bebida Splash Pessego/Acerola 500ml R$2,99un 
