Oleo De Soja Coamo Pet 900ml Por: R$ 6,89 
Creme De Leite Tirol Tetra Pack 200g Por: R$ 2,49 
Molho De Tomate Predilecta Tradicional Sachet 340g Por: R$ 1,29 
Leite Condensado Piracanjuba Tetra Pack 395g Por: R$ 4,99 
Creme De Leite Piracanjuba Tetra Pack 200g Por: R$ 1,99 -26% 
Leite Condensado Tirol I Tetra Pack 395g Por: R$ 4,69 
Macarrão Instantâneo Nissin Galinha Caipira 85g Por: R$ 1,49 
Milho Verde Quero Lt 170g Por: R$ 1,89 
Biscoito Bauducco Wafer Chocolate 140g Por: R$ 1,99 
Vinagre De Alcool Heinig 900ml Por: R$ 1,99 
Massa Semola Galo Cortes Espaguete 8 500g Por: R$ 2,99 
Biscoito Nestle Passatempo Recheado Chocolate 130g Por: R$ 1,99 
Arroz Branco Tio Urbano 1kg Por: R$ 5,25 
Biscoito Isabela Leite Tradicional 400g Por: R$ 3,99 
Chocolate Lacta Bis Ao Leite Com 20 Unidades 126g Por: R$ 3,99 
Feijao Preto Urbano 1kg Por: R$ 7,59 
Acucar Refinado Uniao 1kg Por: R$ 2,99 
Macarrão Instantâneo Nissin Carne 85g Por: R$ 1,49 
Feijao Preto Caldao Tipo 1 1kg Por: R$ 6,99 -7% 
Farinha De Trigo Orquidea Pp 1kg Por: R$ 3,39 
Sal Refinado Zizo 1kg Por: R$ 1,79 
Milho De Pipoca Premium Yoki 500g Por: R$ 3,59 
Acucar Refinado Alto Alegre 1kg Por: R$ 2,39 -8% 
Arroz Parbo Kika 5kg Por: R$ 19,90 
Massa Instantânea Renata Galinha Caipira 85g Por: R$ 0,79 -11% 
Oleo De Girasol Salada Pet 900ml Por: R$ 7,99 
Massa Semola Orquidea Espaguete 500g Por: R$ 2,79 
Biscoito Bauducco Wafer Chocolate/Avela 140g Por: R$ 1,99 
Milho Verde Bonare Lata 200g Por: R$ 1,89 
Macarrão Instantâneo Nissin Turma Da Mônica Tomate 85g Por: R$ 1,49 
Batata Lavada Kg Por: R$ 2,49 
Melancia Kg Por: R$ 1,49 
Banana Branca Kg Por: R$ 3,49 
Cebola Cabeca Kg Por: R$ 2,99 
Laranja Pera Kg Por: R$ 2,59 
Mamao Papaia/Hawai Un Por: R$ 2,99 
Tomate Kg Por: R$ 5,99 
Ovos Vermelhos Aurea 18un Por: R$ 5,99 -14% 
Cenoura Kg Por: R$ 2,99 
Batata Doce Kg Por: R$ 2,29 
Limao Taiti Kg Por: R$ 5,99 
Brocolis Chines Un Por: R$ 2,99 
Ovos Vermelhos Canela 30un Por: R$ 9,98 -17% 
Banana Caturra Kg Por: R$ 3,99 
Morango Bandeja Un Por: R$ 3,99 
Abacaxi Perola Unidade Por: R$ 5,49 
Couve Folha Un Por: R$ 1,79 
Mamao Formosa Kg Por: R$ 3,99 
Alface Crespa Unidade Por: R$ 1,79 
Abobora Cabotia Kg Por: R$ 3,49 
Cebolinha Verde Un Por: R$ 1,79 
Maca Fuji Kg Por: R$ 7,99 
Abacate Kg Por: R$ 5,99 
Alface Americana Unidade Por: R$ 1,79 
Bergamota Kg Por: R$ 4,99 
Manga Tommy Kg Por: R$ 3,99 
Tomate Rasteiro Kg Por: R$ 5,99 
Rucula Un Por: R$ 1,79 
Melao Amarelo Kg Por: R$ 2,99 -25% 
Abobrinha Verde Kg Por: R$ 3,99 
Cerveja Antartica Sub Zero Lata 350ml Por: R$ 1,99 
Cerveja Amstel Lager Lata 350ml Por: R$ 2,69 
Cerveja Bohemia Pilsen Lata 350ml Por: R$ 2,69 
Cerveja Schin Pilsen Lata 350ml Por: R$ 1,89 
Cerveja Brahma Chopp Pilsen Lata 350ml Por: R$ 2,49 
Agua Mineral Valle Vita Sem Gás Pet 500ml Por: R$ 0,99 
Cerveja Budweiser Pilsen Lata 350ml Por: R$ 3,29 
Cerveja Heineken Pilsen Lata 350ml Por: R$ 3,99 
Agua Mineral Valle Vita Com Gás 500ml Por: R$ 1,19 
Agua Mineral Font Life Com Gás Pet 510ml Por: R$ 1,39 
Refrigerante Coca Cola Mini S/Açúcar Pet 200ml Por: R$ 0,99 -17% 
